user_query,command,description
Could you please run `yum deplist httpd` for me?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
How can I list all dependencies for the `httpd` package on CentOS/RHEL?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
Show me the dependency tree for the `httpd` package using `yum`,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
I need to find out what packages `httpd` relies on. What's the command?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
What are the prerequisites for installing the `httpd` service?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
Can you display the full dependency list for `httpd`?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
Please run the command to get `httpd`'s dependencies,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
I'm preparing to install `httpd` and want to see its dependencies,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
"List all packages that `httpd` depends on, using `yum`",yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
I'd like to query the `httpd` package for its dependency list,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
What command do I use to check the dependencies of the `httpd` package?,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
Tell me what `httpd` needs to function correctly on a RHEL system,yum deplist httpd,Lists dependencies for the httpd package on CentOS/RHEL.
How do I list DNF modules?,dnf module list,Lists available modules on Fedora-based systems.
What's the command to see available DNF modules?,dnf module list,Lists available modules on Fedora-based systems.
I want to view the DNF module list,dnf module list,Lists available modules on Fedora-based systems.
Please show me the DNF modules,dnf module list,Lists available modules on Fedora-based systems.
Can you display the DNF modules?,dnf module list,Lists available modules on Fedora-based systems.
List DNF modules,dnf module list,Lists available modules on Fedora-based systems.
How can I check which DNF modules are available?,dnf module list,Lists available modules on Fedora-based systems.
Tell me the command to get the DNF module list,dnf module list,Lists available modules on Fedora-based systems.
What's the way to browse DNF modules?,dnf module list,Lists available modules on Fedora-based systems.
I need to see a list of DNF modules,dnf module list,Lists available modules on Fedora-based systems.
Could you provide the command for listing DNF modules?,dnf module list,Lists available modules on Fedora-based systems.
