user_query,command,description
How do I set the maximum password age for 'user' to 90 days?,chage -M 90 user,Sets the maximum password age for user to 90 days.
Please set the maximum password age for 'user' to 90 days,chage -M 90 user,Sets the maximum password age for user to 90 days.
What's the command to enforce a 90-day password expiry for 'user'?,chage -M 90 user,Sets the maximum password age for user to 90 days.
I need to configure 'user's' password to expire after 90 days. How do I do that?,chage -M 90 user,Sets the maximum password age for user to 90 days.
"Using `chage`, how can I limit 'user's' password validity to 90 days?",chage -M 90 user,Sets the maximum password age for user to 90 days.
Could you show me how to change 'user's' maximum password lifetime to 90 days?,chage -M 90 user,Sets the maximum password age for user to 90 days.
I want to make sure 'user' has to change their password every 90 days. What command should I use?,chage -M 90 user,Sets the maximum password age for user to 90 days.
Set a 90-day maximum password period for 'user',chage -M 90 user,Sets the maximum password age for user to 90 days.
How do I restrict 'user's' password to be valid for only 90 days?,chage -M 90 user,Sets the maximum password age for user to 90 days.
Can you update 'user's' password policy to a 90-day maximum?,chage -M 90 user,Sets the maximum password age for user to 90 days.
What's the syntax to apply a 90-day password age limit for 'user'?,chage -M 90 user,Sets the maximum password age for user to 90 days.
"For 'user', how do I cap their password's active duration at 90 days?",chage -M 90 user,Sets the maximum password age for user to 90 days.
"How do I see a history of logins, logouts, and reboots?",last -x,"Displays system login, logout, and other events like reboots."
"Can you show me a detailed log of all system login/logout events, including reboots?",last -x,"Displays system login, logout, and other events like reboots."
"I need to check the full system event history, including boots, shutdowns, and user sessions",last -x,"Displays system login, logout, and other events like reboots."
"Display all user activity, reboots, and runlevel changes on this machine",last -x,"Displays system login, logout, and other events like reboots."
"What's the command to view a comprehensive list of system logins, logouts, and other events like reboots?",last -x,"Displays system login, logout, and other events like reboots."
"Show me the system's complete boot, shutdown, and login history",last -x,"Displays system login, logout, and other events like reboots."
"Retrieve a full audit trail of system reboots, shutdowns, and user login/logout times",last -x,"Displays system login, logout, and other events like reboots."
"Which command lists all system login/logout events, including shutdowns and runlevel changes?",last -x,"Displays system login, logout, and other events like reboots."
"I'd like to see the extended history of system logins, logouts, and reboots",last -x,"Displays system login, logout, and other events like reboots."
Please provide a report of all system access events and power cycles,last -x,"Displays system login, logout, and other events like reboots."
"Can you get me the full timeline of system uptime, shutdowns, and user sessions?",last -x,"Displays system login, logout, and other events like reboots."
How do I find out when the system was last rebooted and who logged in/out since then?,last -x,"Displays system login, logout, and other events like reboots."
Run `authconfig --test`,authconfig --test,Displays current authentication configuration.
Please run `authconfig --test`,authconfig --test,Displays current authentication configuration.
Could you run `authconfig --test`?,authconfig --test,Displays current authentication configuration.
I need to run `authconfig --test`,authconfig --test,Displays current authentication configuration.
I want to run `authconfig --test`,authconfig --test,Displays current authentication configuration.
Show me the output of `authconfig --test`,authconfig --test,Displays current authentication configuration.
