user_query,command,description
How do I extract the printable strings from the `/bin/ls` binary?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Could you show me the text strings embedded within the `/bin/ls` executable?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
What's the command to get all the human-readable strings from `/bin/ls`?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
I need to view the printable character sequences present in `/bin/ls`,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Display the strings found in the `/bin/ls` file,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Can you run the `strings` utility on `/bin/ls` for me?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Please output the printable string data from `/bin/ls`,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
I want to see what strings are inside the `/bin/ls` program,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Tell me the command to list the strings within `/bin/ls`,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Get me the printable strings from the `/bin/ls` binary,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
Could you parse `/bin/ls` for its embedded text strings?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
How can I extract all the readable strings from the `/bin/ls` binary file?,strings /bin/ls,Extracts printable strings from the binary /bin/ls.
How do I display `file.bin` in hexadecimal and ASCII format?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
What's the command to view `file.bin` using `hexdump` with character output?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
"I need to see the contents of `file.bin` in a canonical hex dump, showing both hex and ASCII. How can I do that?",hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
Can you give me the `hexdump` command to show `file.bin` byte-by-byte with their ASCII equivalents?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
How can I get `hexdump` to output `file.bin` with the character column?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
What command would I use to inspect `file.bin`'s raw binary data along with its ASCII representation?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
Show me how to hexdump `file.bin` in the standard hex+ASCII layout,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
I'm trying to view `file.bin` and need to see the hexadecimal values and the corresponding characters. What's the syntax?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
Give me the command to dump `file.bin` in a hex and ASCII format,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
How do I make `hexdump` show `file.bin` with both its hex and character values?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
What's the best way to print `file.bin`'s binary content in a hex and ASCII side-by-side view?,hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
"I want to examine `file.bin` with a hex editor-like output on the command line, showing ASCII. What command achieves this?",hexdump -C file.bin,Displays file.bin in hexadecimal and ASCII format.
How can I get the detailed status of `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
What command shows the permissions and timestamps for `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
I need to display all available information about `file.txt`. What should I type?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
Could you show me how to run `stat` on `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
What's the way to check `file.txt`'s properties using `stat`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
Tell me the command to view the file status of `file.txt`,stat file.txt,"Displays detailed file status, including timestamps and permissions."
How do I use `stat` to inspect `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
I want to see the inode number and block size for `file.txt`. What's the command?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
What's the correct syntax to get the detailed status for `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
How do I execute `stat file.txt` in the terminal?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
Could you provide the command to get a comprehensive status report on `file.txt`?,stat file.txt,"Displays detailed file status, including timestamps and permissions."
"If I wanted to see the last modification time, access time, and change time for `file.txt`, what would I type?",stat file.txt,"Displays detailed file status, including timestamps and permissions."
How can I see what's using port 80?,lsof -i :80,Lists processes using port 80.
What command shows which process is listening on port 80?,lsof -i :80,Lists processes using port 80.
I need to list all processes currently utilizing TCP port 80. How do I do that?,lsof -i :80,Lists processes using port 80.
Can you tell me which application has port 80 open?,lsof -i :80,Lists processes using port 80.
Show me the process ID for whatever is bound to port,lsof -i :80,Lists processes using port 80.
How do I determine which service is occupying port 80?,lsof -i :80,Lists processes using port 80.
I want to find the program that's using port 80. What's the command?,lsof -i :80,Lists processes using port 80.
Could you help me execute `lsof -i :80`?,lsof -i :80,Lists processes using port 80.
What's the best way to check for processes on port 80?,lsof -i :80,Lists processes using port 80.
"Display the active connections on port 80, please",lsof -i :80,Lists processes using port 80.
I need to identify the process responsible for port 80 traffic,lsof -i :80,Lists processes using port 80.
Tell me what's hogging port 80 right now,lsof -i :80,Lists processes using port 80.
Run `tcpdump -i eth0`,tcpdump -i eth0,Captures packets on the eth0 interface.
How do I capture packets on the `eth0` interface?,tcpdump -i eth0,Captures packets on the eth0 interface.
Please start `tcpdump` on `eth0`,tcpdump -i eth0,Captures packets on the eth0 interface.
I need to capture traffic on `eth0`. Which command should I use?,tcpdump -i eth0,Captures packets on the eth0 interface.
What's the command to sniff packets on `eth0`?,tcpdump -i eth0,Captures packets on the eth0 interface.
Initiate a packet capture session on `eth0` with `tcpdump`,tcpdump -i eth0,Captures packets on the eth0 interface.
How do I configure `tcpdump` to listen on `eth0`?,tcpdump -i eth0,Captures packets on the eth0 interface.
I want to monitor `eth0` for network activity,tcpdump -i eth0,Captures packets on the eth0 interface.
Can you provide the `tcpdump` syntax for `eth0`?,tcpdump -i eth0,Captures packets on the eth0 interface.
Execute `tcpdump` targeting `eth0`,tcpdump -i eth0,Captures packets on the eth0 interface.
Could you show me how to capture traffic from `eth0` using `tcpdump`?,tcpdump -i eth0,Captures packets on the eth0 interface.
I need to capture network data on `eth0`,tcpdump -i eth0,Captures packets on the eth0 interface.
How do I look up the IP address for google.com using `nslookup`?,nslookup google.com,Queries DNS for google.com's IP address.
What's the `nslookup` command to find the IP address of google.com?,nslookup google.com,Queries DNS for google.com's IP address.
I'm trying to find the IP address of google.com. How can I do that with `nslookup`?,nslookup google.com,Queries DNS for google.com's IP address.
Get me the IP of google.com using `nslookup`,nslookup google.com,Queries DNS for google.com's IP address.
Could you tell me the command to query the DNS for google.com's IP address using `nslookup`?,nslookup google.com,Queries DNS for google.com's IP address.
Please perform a DNS lookup for google.com using the `nslookup` utility,nslookup google.com,Queries DNS for google.com's IP address.
How would I use `nslookup` to get the IP address associated with google.com?,nslookup google.com,Queries DNS for google.com's IP address.
My goal is to find google.com's IP. How do I achieve this with `nslookup`?,nslookup google.com,Queries DNS for google.com's IP address.
Perform an `nslookup` on google.com,nslookup google.com,Queries DNS for google.com's IP address.
Can you help me find the IP address of google.com using the `nslookup` command?,nslookup google.com,Queries DNS for google.com's IP address.
Display the DNS information for google.com using `nslookup`,nslookup google.com,Queries DNS for google.com's IP address.
"If I were in a Linux terminal, what command would I type to run `nslookup` on google.com?",nslookup google.com,Queries DNS for google.com's IP address.
Run `dig google.com`,dig google.com,Performs a detailed DNS lookup for google.com.
Execute the command `dig google.com`,dig google.com,Performs a detailed DNS lookup for google.com.
Could you please run `dig google.com`?,dig google.com,Performs a detailed DNS lookup for google.com.
How do I perform a DNS lookup for google.com?,dig google.com,Performs a detailed DNS lookup for google.com.
I need to check the DNS records for google.com; what command should I use?,dig google.com,Performs a detailed DNS lookup for google.com.
Please fire up the terminal and run `dig google.com`,dig google.com,Performs a detailed DNS lookup for google.com.
Show me the DNS information for google.com,dig google.com,Performs a detailed DNS lookup for google.com.
What's the command to dig google.com?,dig google.com,Performs a detailed DNS lookup for google.com.
Perform a detailed DNS lookup for google.com,dig google.com,Performs a detailed DNS lookup for google.com.
Get the DNS details for google.com using `dig`,dig google.com,Performs a detailed DNS lookup for google.com.
Could you `dig google.com` for me?,dig google.com,Performs a detailed DNS lookup for google.com.
I want to use `dig` to query google.com,dig google.com,Performs a detailed DNS lookup for google.com.
Please run `ipcs -m`,ipcs -m,Lists shared memory segments.
How can I list the shared memory segments?,ipcs -m,Lists shared memory segments.
Show me the shared memory status,ipcs -m,Lists shared memory segments.
I need to inspect shared memory segments,ipcs -m,Lists shared memory segments.
What's the command to view shared memory?,ipcs -m,Lists shared memory segments.
Execute `ipcs -m`,ipcs -m,Lists shared memory segments.
Can you display the shared memory segments for me?,ipcs -m,Lists shared memory segments.
I want to check shared memory usage,ipcs -m,Lists shared memory segments.
Run the command that lists shared memory segments,ipcs -m,Lists shared memory segments.
How do I get an overview of shared memory on this system?,ipcs -m,Lists shared memory segments.
List current shared memory segments,ipcs -m,Lists shared memory segments.
Display the output of `ipcs -m`,ipcs -m,Lists shared memory segments.
How do I check CPU usage every second for three iterations?,sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Can you run the `sar` command to report CPU utilization at 1-second intervals, three times?",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Show me the CPU activity, refreshing every second, for three consecutive readings",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"I need to get CPU statistics, sampled every second, for 3 reports",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"What's the command to monitor CPU usage with a 1-second sampling rate, for 3 samples?",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Could you display the CPU load three times, with a one-second delay between each?",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Initiate a `sar` report for CPU, showing data every second, three times",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Provide me with three consecutive CPU usage reports, each one second apart",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"I'd like to check the CPU usage over 3 seconds, taking a sample each second",sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Execute the command that shows CPU utilization for three iterations, updated every second",sar -u 1 3,Reports CPU usage every second for 3 iterations.
Run `sar -u 1 3` please,sar -u 1 3,Reports CPU usage every second for 3 iterations.
"Give me the output of a CPU usage report, sampled every second, three times",sar -u 1 3,Reports CPU usage every second for 3 iterations.
Run `dmesg` with human-readable timestamps,dmesg -T,Displays kernel messages with human-readable timestamps.
How can I display kernel messages with proper time formatting?,dmesg -T,Displays kernel messages with human-readable timestamps.
Show me the kernel ring buffer output and make sure the timestamps are easy to read,dmesg -T,Displays kernel messages with human-readable timestamps.
What's the command to get `dmesg` to show human-readable timestamps?,dmesg -T,Displays kernel messages with human-readable timestamps.
"I need to check the system's kernel logs, and the times need to be clear and understandable",dmesg -T,Displays kernel messages with human-readable timestamps.
Could you display the kernel boot messages along with their human-readable timestamps?,dmesg -T,Displays kernel messages with human-readable timestamps.
How do I view `dmesg` output with actual date and time information?,dmesg -T,Displays kernel messages with human-readable timestamps.
"Just show me the kernel buffer, but make sure the timestamps are present and readable",dmesg -T,Displays kernel messages with human-readable timestamps.
"I want to examine recent kernel events, and I need the timestamps to be accurate and human-friendly",dmesg -T,Displays kernel messages with human-readable timestamps.
"Display the kernel log messages, ensuring the timestamps are correctly formatted",dmesg -T,Displays kernel messages with human-readable timestamps.
What's the best way to see kernel messages with timestamps?,dmesg -T,Displays kernel messages with human-readable timestamps.
Please run `dmesg` and add the human-readable timestamps to the output,dmesg -T,Displays kernel messages with human-readable timestamps.
Run lsdev,lsdev,Lists hardware device information.
Please run lsdev for me,lsdev,Lists hardware device information.
Could you execute the lsdev command?,lsdev,Lists hardware device information.
Show me the hardware devices,lsdev,Lists hardware device information.
List all the hardware components,lsdev,Lists hardware device information.
I need to check my system's hardware,lsdev,Lists hardware device information.
Get me the device list,lsdev,Lists hardware device information.
Perform a hardware device listing,lsdev,Lists hardware device information.
What hardware do I have connected?,lsdev,Lists hardware device information.
Display the hardware device information,lsdev,Lists hardware device information.
Let's run lsdev and see,lsdev,Lists hardware device information.
Can you provide details about the hardware devices?,lsdev,Lists hardware device information.
How do I change the group ownership of `file.txt` to `group`?,chgrp group file.txt,Changes the group ownership of file.txt to group.
