user_query,command,description
"Open `config.conf` in Nano, showing line numbers",nano -l config.conf,Opens config.conf in Nano with line numbers.
"Edit `config.conf` with Nano, displaying line numbers",nano -l config.conf,Opens config.conf in Nano with line numbers.
Launch Nano for `config.conf` and enable line numbering,nano -l config.conf,Opens config.conf in Nano with line numbers.
"Please open `config.conf` using Nano, with line numbers",nano -l config.conf,Opens config.conf in Nano with line numbers.
I need to view `config.conf` in Nano with line numbers,nano -l config.conf,Opens config.conf in Nano with line numbers.
"Start Nano on `config.conf`, making sure line numbers are visible",nano -l config.conf,Opens config.conf in Nano with line numbers.
"Run Nano on `config.conf`, and show the line numbers",nano -l config.conf,Opens config.conf in Nano with line numbers.
Edit `config.conf` using Nano; please include line numbers,nano -l config.conf,Opens config.conf in Nano with line numbers.
"Open `config.conf` in Nano, with line number display active",nano -l config.conf,Opens config.conf in Nano with line numbers.
Launch `nano` to open `config.conf` and display line numbers,nano -l config.conf,Opens config.conf in Nano with line numbers.
Could you open `config.conf` in Nano and show line numbers?,nano -l config.conf,Opens config.conf in Nano with line numbers.
I want to open `config.conf` in Nano and see the line numbers,nano -l config.conf,Opens config.conf in Nano with line numbers.
Move up one directory,cd ..,Moves up one directory level.
Go to the parent directory,cd ..,Moves up one directory level.
How do I navigate up a level?,cd ..,Moves up one directory level.
Take me back one directory,cd ..,Moves up one directory level.
I need to go up one folder,cd ..,Moves up one directory level.
What's the command to ascend one directory?,cd ..,Moves up one directory level.
Can you move me out of this directory and into the one above it?,cd ..,Moves up one directory level.
I want to switch to the containing directory,cd ..,Moves up one directory level.
Execute the command to go up a directory,cd ..,Moves up one directory level.
Send me up one directory level,cd ..,Moves up one directory level.
Change directory to the one above this,cd ..,Moves up one directory level.
Go back to the previous directory in the hierarchy,cd ..,Moves up one directory level.
List files with their permissions and human-readable sizes,ls -lh,Lists files in long format with human-readable sizes.
How do I get a detailed listing of files with sizes like KB or MB?,ls -lh,Lists files in long format with human-readable sizes.
"Show me a verbose list of files, including their sizes in an easy-to-read format",ls -lh,Lists files in long format with human-readable sizes.
"I need to see all file details, with human-friendly sizes",ls -lh,Lists files in long format with human-readable sizes.
Display a long listing of directory contents with understandable file sizes,ls -lh,Lists files in long format with human-readable sizes.
What's the command for a detailed file listing with human-readable size units?,ls -lh,Lists files in long format with human-readable sizes.
"Can you list the files and show their sizes in K, M, G?",ls -lh,Lists files in long format with human-readable sizes.
Give me a comprehensive file list that includes sizes in a readable format,ls -lh,Lists files in long format with human-readable sizes.
How can I view file permissions and human-friendly sizes together?,ls -lh,Lists files in long format with human-readable sizes.
I want to list files and have the output display file sizes in KB/MB/GB,ls -lh,Lists files in long format with human-readable sizes.
"Show me the full details of the files, with sizes displayed in a human-readable way",ls -lh,Lists files in long format with human-readable sizes.
"List all files verbosely, showing sizes in an easy-to-understand format",ls -lh,Lists files in long format with human-readable sizes.
How do I copy file.txt to file.bak?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
What's the command to make a backup copy of file.txt named file.bak?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
I need to duplicate file.txt as file.bak. Which command should I use?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
Can you give me the exact command to copy file.txt and save it as file.bak?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
"On Linux, how do I create file.bak from file.txt?",cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
What's the standard way to copy file.txt to a new file called file.bak?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
