user_query,command,description
How do I lock a user's password in Linux?,passwd -l user,"Locks the password for user, disabling login."
I need to disable login for the 'user' account,passwd -l user,"Locks the password for user, disabling login."
What's the command to prevent 'user' from logging in?,passwd -l user,"Locks the password for user, disabling login."
Could you please lock the password for 'user'?,passwd -l user,"Locks the password for user, disabling login."
How can I block access for a specific user?,passwd -l user,"Locks the password for user, disabling login."
I want to suspend 'user's' ability to log in,passwd -l user,"Locks the password for user, disabling login."
What's the best way to effectively 'freeze' a user account?,passwd -l user,"Locks the password for user, disabling login."
How do I revoke login privileges for 'user'?,passwd -l user,"Locks the password for user, disabling login."
Which `passwd` flag lets me disable a user's login?,passwd -l user,"Locks the password for user, disabling login."
Please make it so 'user' cannot log in anymore,passwd -l user,"Locks the password for user, disabling login."
I'm looking for the command to lock a user's account password,passwd -l user,"Locks the password for user, disabling login."
Can you show me how to disallow 'user' from authenticating?,passwd -l user,"Locks the password for user, disabling login."
"How do I set the account expiration date for 'user' to December 31, 2025?",chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
What's the `chage` command to expire 'user' on 2025-12-31?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
I need to make 'user''s account expire at the end of 2025. How can I do that?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
Show me the command to set 'user''s login expiry to,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
"How do I use `chage -E` to set the expiration date for 'user' to December 31, 2025?",chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
Could you provide the exact command to expire the 'user' account on 2025-12-31?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
What is the correct way to set 'user''s account to terminate on 2025-12-31?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
"I want to ensure 'user''s account is disabled after December 31, 2025. Which command achieves this?",chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
Give me the Linux command to change 'user''s expiry to,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
How do I update the account expiry for 'user' to 2025-12-31?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
"Using `chage`, how do I specify that 'user''s account expires on the final day of 2025?",chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
What command sets `user`'s account expiration to 2025-12-31?,chage -E 2025-12-31 user,"Sets the account expiration date for user to Dec 31, 2025."
How can I see information about user john?,finger user,"Displays information about user, including login and mail status."
Can you show me the login and mail status for john?,finger user,"Displays information about user, including login and mail status."
"What's the command to get details on a specific user, like john?",finger user,"Displays information about user, including login and mail status."
I need to check if john is currently logged into this system,finger user,"Displays information about user, including login and mail status."
Display the finger information for the user named john,finger user,"Displays information about user, including login and mail status."
Tell me everything you know about user john's current session,finger user,"Displays information about user, including login and mail status."
Is there a way to view a summary of user john's activity?,finger user,"Displays information about user, including login and mail status."
"Get me the full user details for john, please",finger user,"Displays information about user, including login and mail status."
"How do I look up a user's status, for example, john?",finger user,"Displays information about user, including login and mail status."
I'd like to query the system for information on 'john',finger user,"Displays information about user, including login and mail status."
Could you provide an overview of user john's login state?,finger user,"Displays information about user, including login and mail status."
What's the command to 'finger' the user 'john'?,finger user,"Displays information about user, including login and mail status."
How do I run `command` with a nice value of 10?,nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"I need to execute `command` at a lower priority, specifically nice",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
What's the way to start `command` with a nice value of 10?,nice -n 10 command,Runs command with a nice value of 10 (lower priority).
Can you show me how to launch `command` using `nice -n 10`?,nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"How can I run `command` but make it less resource-intensive, setting its nice value to 10?",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
I want to kick off `command` and give it a nice level of,nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"How do I run `command` without it hogging the CPU, using a nice value of 10?",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"Could you tell me how to start `command` with a nice value of 10, so it's a lower priority?",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"What's the command to run `command` with a reduced priority, a nice value of 10?",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"I need to run `command` politely, with a nice level of",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
How do I `nice` `command` to a priority of 10?,nice -n 10 command,Runs command with a nice value of 10 (lower priority).
"How do I execute `command` such that it runs with a lower priority, specifically a nice value of positive 10?",nice -n 10 command,Runs command with a nice value of 10 (lower priority).
How do I change the niceness of process 1234 to 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
What's the command to set the priority of PID 1234 to 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
I need to adjust the niceness level for process 1234 to 5. How?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
Can you show me how to `renice` process 1234 to a value of 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
How do I re-prioritize PID 1234 to a niceness of 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
What's the best way to modify the priority of process ID 1234 to 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
I want to make process 1234 run with a niceness of 5. How is this done?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
Could you tell me the command to give process 1234 a priority of 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
How can I set the `nice` value for process 1234 to 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
I need to use `renice` on PID 1234 to set its priority to 5. What's the syntax?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
Is there a command to change the priority of process 1234 to niceness 5?,renice 5 1234,Changes the priority of process with PID 1234 to 5.
"For process 1234, how do I apply a niceness value of 5?",renice 5 1234,Changes the priority of process with PID 1234 to 5.
How do I run `top` to only show processes for a specific user?,top -u user,Displays processes owned by user in top.
I need to view the processes owned by a particular user in `top`,top -u user,Displays processes owned by user in top.
"Show me the `top` output, but only for a given user",top -u user,Displays processes owned by user in top.
What's the command to display just a user's processes within `top`?,top -u user,Displays processes owned by user in top.
Can you filter `top` to only include processes for a specific user?,top -u user,Displays processes owned by user in top.
I want to see what processes 'user' is running; how do I do that with `top`?,top -u user,Displays processes owned by user in top.
How can I limit `top`'s display to just one user's processes?,top -u user,Displays processes owned by user in top.
"Display `top`'s process list, restricted to a particular user",top -u user,Displays processes owned by user in top.
Could you tell me how to monitor the processes of 'user' using `top`?,top -u user,Displays processes owned by user in top.
Give me the `top` command that filters by user,top -u user,Displays processes owned by user in top.
I'm trying to check resource usage for 'user'; how do I see their processes in `top`?,top -u user,Displays processes owned by user in top.
Get me the `top` view for processes belonging solely to 'user',top -u user,Displays processes owned by user in top.
Show me the process tree with PIDs,pstree -p,Displays a tree of processes with PIDs.
How do I display a tree of all running processes and their IDs?,pstree -p,Displays a tree of processes with PIDs.
Please run `pstree -p`,pstree -p,Displays a tree of processes with PIDs.
I need to see the process hierarchy along with the process identifiers,pstree -p,Displays a tree of processes with PIDs.
"What's the command to get a tree-like view of processes, including PIDs?",pstree -p,Displays a tree of processes with PIDs.
Can you execute the `pstree` command to show PIDs?,pstree -p,Displays a tree of processes with PIDs.
"Display the process tree, ensuring process IDs are visible",pstree -p,Displays a tree of processes with PIDs.
I'd like to view the hierarchical process list with their unique PIDs,pstree -p,Displays a tree of processes with PIDs.
