user_query,command,description
Switch to the third directory in my stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
Rotate the directory stack so the third entry becomes current,pushd +2,Rotates the directory stack to make the third entry the current directory.
Go to the directory at stack position +,pushd +2,Rotates the directory stack to make the third entry the current directory.
Can you set my current directory to the third one in the `dirs` list?,pushd +2,Rotates the directory stack to make the third entry the current directory.
I want to jump to the third directory saved in my shell's stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
Make the third entry on my directory stack the active directory,pushd +2,Rotates the directory stack to make the third entry the current directory.
Perform the action of moving to the third directory in my stack using `pushd`,pushd +2,Rotates the directory stack to make the third entry the current directory.
Change my current working directory to the third item in the directory stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
Navigate to the directory that's two positions down from the top of the stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
Please bring up the third directory from my directory stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
I need to access the third directory entry from my session's stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
Update my current directory to the third one available on the directory stack,pushd +2,Rotates the directory stack to make the third entry the current directory.
How do I clear the directory stack?,dirs -c,Clears the directory stack.
What's the command to clear the directory stack?,dirs -c,Clears the directory stack.
I need to empty my directory stack,dirs -c,Clears the directory stack.
Can you tell me how to reset the directory stack?,dirs -c,Clears the directory stack.
How do I get rid of the entries in the directory stack?,dirs -c,Clears the directory stack.
I want to clear the pushd/popd stack,dirs -c,Clears the directory stack.
What's the way to flush the dirstack?,dirs -c,Clears the directory stack.
How can I clear the list of remembered directories?,dirs -c,Clears the directory stack.
Tell me how to wipe the directory stack,dirs -c,Clears the directory stack.
What command clears the directory stack entirely?,dirs -c,Clears the directory stack.
Is there a command to clear the dirstack?,dirs -c,Clears the directory stack.
How do you clear out the directory stack?,dirs -c,Clears the directory stack.
Change my current directory to the physical location of `/path/to/symlink`,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
How do I navigate to the true directory that `/path/to/symlink` points to?,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Please `cd` to the actual path where `/path/to/symlink` resolves,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
"I need to enter the real directory behind `/path/to/symlink`, not the symlink itself",cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Resolve `/path/to/symlink` to its physical path and change directory there,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Move me to the underlying directory that `/path/to/symlink` represents,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Jump to the physical target of the symlink `/path/to/symlink`,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Go to the absolute physical path pointed to by `/path/to/symlink`,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Take me to the resolved directory of `/path/to/symlink`,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Can you `cd` me into the source directory of `/path/to/symlink`?,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
I want to change to the directory that `/path/to/symlink` *actually* is,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
Enter the actual directory specified by `/path/to/symlink` after resolving the link,cd -P /path/to/symlink,Changes to the physical directory resolved from /path/to/symlink.
How do I list all mounted ext4 filesystems?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
Show me the details of my mounted ext4 partitions,findmnt -t ext4,Lists mounted ext4 filesystems with details.
What are the currently active ext4 mounts?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
I need to see all ext4 filesystems that are currently mounted. How can I do that?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
Can you display the status of ext4 filesystems?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
List ext4 mounts,findmnt -t ext4,Lists mounted ext4 filesystems with details.
Give me a list of all ext4 filesystems currently in use,findmnt -t ext4,Lists mounted ext4 filesystems with details.
How can I check which ext4 filesystems are mounted on this system?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
What's the command to view only ext4 mounts?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
I want to see my ext4 mount points,findmnt -t ext4,Lists mounted ext4 filesystems with details.
Could you tell me what ext4 filesystems are active right now?,findmnt -t ext4,Lists mounted ext4 filesystems with details.
Display the mounted ext4 filesystems,findmnt -t ext4,Lists mounted ext4 filesystems with details.
How do I list the Linux namespaces?,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
What command shows me Linux namespaces?,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Can you display the active namespaces?,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
I need to check the system's namespaces,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Please run `lsns`,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
"Show me all PID, network, and user namespaces",lsns,"Lists Linux namespaces (e.g., PID, network, user)."
List all available Linux namespaces,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
How can I view the different Linux namespaces?,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Which tool do I use to see Linux namespaces?,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Execute `lsns` for me,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
I want to get a summary of the namespaces,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Give me a list of the Linux namespaces,lsns,"Lists Linux namespaces (e.g., PID, network, user)."
Show me all kernel parameters and their values,sysctl -a,Displays all kernel parameters and their values.
How do I display all system control parameters?,sysctl -a,Displays all kernel parameters and their values.
List every kernel setting that's currently active,sysctl -a,Displays all kernel parameters and their values.
What are all the `sysctl` variables and their current values?,sysctl -a,Displays all kernel parameters and their values.
I want to see all my kernel's configuration options,sysctl -a,Displays all kernel parameters and their values.
Could you run `sysctl -a` for me?,sysctl -a,Displays all kernel parameters and their values.
Display a full list of kernel parameters,sysctl -a,Displays all kernel parameters and their values.
Get me all information from `sysctl`,sysctl -a,Displays all kernel parameters and their values.
How can I check all the kernel's tunable parameters?,sysctl -a,Displays all kernel parameters and their values.
Please show me everything `sysctl -a` outputs,sysctl -a,Displays all kernel parameters and their values.
What are the current values for all kernel parameters?,sysctl -a,Displays all kernel parameters and their values.
List all kernel options available through `sysctl`,sysctl -a,Displays all kernel parameters and their values.
How do I list the current audit rules?,auditctl -l,Lists current audit rules for system monitoring.
What's the command to display the system's configured audit rules?,auditctl -l,Lists current audit rules for system monitoring.
Can you show me the active audit rules?,auditctl -l,Lists current audit rules for system monitoring.
"I need to check the current audit configuration, how do I do that?",auditctl -l,Lists current audit rules for system monitoring.
Which command lists the existing audit rules?,auditctl -l,Lists current audit rules for system monitoring.
Tell me how to view the audit rules,auditctl -l,Lists current audit rules for system monitoring.
How can I see the audit rules for system monitoring?,auditctl -l,Lists current audit rules for system monitoring.
How do I use `auditctl` to show the loaded rules?,auditctl -l,Lists current audit rules for system monitoring.
Could you please provide the command to list the system's current audit rules?,auditctl -l,Lists current audit rules for system monitoring.
I want to get a list of the audit rules,auditctl -l,Lists current audit rules for system monitoring.
What command will output the current audit rules?,auditctl -l,Lists current audit rules for system monitoring.
What are the audit rules set to right now?,auditctl -l,Lists current audit rules for system monitoring.
How do I search for login events in the audit logs?,ausearch -m LOGIN,Searches audit logs for login-related events.
What command should I use to find login attempts in the audit trail?,ausearch -m LOGIN,Searches audit logs for login-related events.
I want to view all login-related entries from the audit log,ausearch -m LOGIN,Searches audit logs for login-related events.
Display the login activity recorded in the audit logs,ausearch -m LOGIN,Searches audit logs for login-related events.
Can you show me how to query the audit logs for user logins?,ausearch -m LOGIN,Searches audit logs for login-related events.
Retrieve all login events from the system's audit logs,ausearch -m LOGIN,Searches audit logs for login-related events.
How can I check who logged in using the audit logs?,ausearch -m LOGIN,Searches audit logs for login-related events.
Find all instances of login in the audit log,ausearch -m LOGIN,Searches audit logs for login-related events.
What's the way to get login events from `ausearch`?,ausearch -m LOGIN,Searches audit logs for login-related events.
I need to list login events from the audit system,ausearch -m LOGIN,Searches audit logs for login-related events.
Give me the command to audit login entries,ausearch -m LOGIN,Searches audit logs for login-related events.
How do I examine login activity in the audit logs?,ausearch -m LOGIN,Searches audit logs for login-related events.
Run `blkid -o list`,blkid -o list,Lists block devices with UUIDs and filesystem types.
Show me a list of all block devices with their UUIDs and filesystem types,blkid -o list,Lists block devices with UUIDs and filesystem types.
"How do I list block devices, their UUIDs, and filesystem types?",blkid -o list,Lists block devices with UUIDs and filesystem types.
Execute `blkid -o list`,blkid -o list,Lists block devices with UUIDs and filesystem types.
Can you list the block devices using `blkid`?,blkid -o list,Lists block devices with UUIDs and filesystem types.
What's the command to get UUIDs and filesystem types for block devices?,blkid -o list,Lists block devices with UUIDs and filesystem types.
I need to see my disk partitions with their UUIDs. How can I do that?,blkid -o list,Lists block devices with UUIDs and filesystem types.
Display a formatted list of block device information,blkid -o list,Lists block devices with UUIDs and filesystem types.
Please provide a list of all block devices,blkid -o list,Lists block devices with UUIDs and filesystem types.
Use `blkid` to output device details in a list,blkid -o list,Lists block devices with UUIDs and filesystem types.
"Generate a report of block devices, UUIDs, and types",blkid -o list,Lists block devices with UUIDs and filesystem types.
List all disk identifiers and their filesystem types,blkid -o list,Lists block devices with UUIDs and filesystem types.
How can I see which processes are actively using I/O?,iotop -o,"Displays I/O usage by processes, showing only active ones."
I want to monitor real-time disk activity for active processes,iotop -o,"Displays I/O usage by processes, showing only active ones."
"What command displays current I/O usage, focusing on active ones?",iotop -o,"Displays I/O usage by processes, showing only active ones."
Show me the I/O operations from currently active processes,iotop -o,"Displays I/O usage by processes, showing only active ones."
How do I display processes that are currently performing I/O?,iotop -o,"Displays I/O usage by processes, showing only active ones."
Can you run iotop but only for processes with actual I/O?,iotop -o,"Displays I/O usage by processes, showing only active ones."
I need to find out which applications are actively using the disk,iotop -o,"Displays I/O usage by processes, showing only active ones."
Which command reveals only the I/O-intensive processes?,iotop -o,"Displays I/O usage by processes, showing only active ones."
"Display the real-time I/O activity, filtering out idle processes",iotop -o,"Displays I/O usage by processes, showing only active ones."
"What's the command to monitor I/O usage, showing only processes that are currently active?",iotop -o,"Displays I/O usage by processes, showing only active ones."
I'm troubleshooting slow disk performance; how do I see what's actively hitting the disk?,iotop -o,"Displays I/O usage by processes, showing only active ones."
